,3months-50,51-60,61-70
7,1529,2043,2488
8,1608,2137,2661
9,1687,2232,2833
10,1766,2326,3005
11,1845,2421,3178
12,1924,2515,3350
13,2003,2609,3523
14,2082,2704,3695
15,2161,2798,3867
16,2240,2893,4040
17,2319,2987,4212
18,2398,3081,4384
19,2477,3176,4557
20,2556,3270,4729
21,2635,3365,4902
22,2714,3459,5073
23,2793,3553,5245
24,2871,3648,5418
25,2950,3742,5590
26,3029,3837,5763
27,3108,3931,5935
28,3187,4025,6107
29,3266,4120,6280
30,3345,4214,6452
31,3840,4423,7364
32,3936,4523,7567
33,4033,4621,7771
34,4129,4721,7974
35,4225,4821,8177
36,4322,4919,8380
37,4417,5019,8583
38,4514,5118,8786
39,4610,5217,8990
40,4707,5316,9193
41,4803,5416,9396
42,4900,5514,9599
43,4995,5614,9802
44,5091,5713,10005
45,5188,5812,10209
46,5284,5911,10412
47,5381,6010,10615
48,5477,6109,10818
49,5573,6209,11021
50,5669,6307,11224
51,5766,6407,11428
52,5862,6506,11631
53,5958,6605,11834
54,6055,6704,12037
55,6150,6804,12240
56,6247,6902,12443
57,6343,7002,12647
58,6440,7102,12850
59,6536,7200,13053
60,6633,7300,13256
61,6989,7867,14499
62,7089,7975,14721
63,7191,8082,14944
64,7291,8190,15166
65,7393,8298,15388
66,7494,8406,15611
67,7595,8513,15834
68,7697,8621,16055
69,7797,8729,16278
70,7899,8837,16501
71,7999,8945,16723
72,8101,9053,16945
73,8202,9161,17167
74,8303,9269,17390
75,8404,9376,17613
76,8505,9484,17834
77,8606,9592,18057
78,8707,9700,18280
79,8808,9807,18502
80,8910,9915,18724
81,9010,10024,18947
82,9112,10132,19169
83,9212,10239,19392
84,9314,10347,19614
85,9414,10455,19836
86,9516,10563,20059
87,9618,10670,20282
88,9718,10778,20503
89,9820,10886,20726
90,9920,10993,20949
91,10102,11507,21494
92,10204,11618,21721
93,10306,11731,21947
94,10409,11844,22174
95,10510,11957,22399
96,10613,12070,22626
97,10714,12182,22852
98,10817,12295,23079
99,10919,12407,23304
100,11021,12520,23531
101,11123,12632,23757
102,11225,12745,23984
103,11327,12858,24209
104,11430,12971,24436
105,11531,13084,24662
106,11633,13195,24889
107,11735,13308,25115
108,11837,13421,25341
109,11940,13534,25567
110,12041,13647,25794
111,12144,13759,26020
112,12245,13872,26246
113,12348,13985,26472
114,12450,14097,26699
115,12552,14209,26925
116,12654,14322,27151
117,12756,14435,27377
118,12858,14548,27604
119,12961,14661,27830
120,13062,14773,28056
121,13273,16642,29490
122,13377,16770,29727
123,13480,16898,29964
124,13583,17026,30201
125,13686,17154,30437
126,13789,17282,30674
127,13892,17411,30911
128,13995,17538,31148
129,14098,17666,31385
130,14201,17794,31622
131,14304,17923,31858
132,14407,18051,32095
133,14510,18178,32332
134,14614,18306,32569
135,14716,18435,32806
136,14819,18563,33043
137,14922,18691,33279
138,15025,18818,33516
139,15129,18947,33753
140,15231,19075,33990
141,15334,19203,34227
142,15437,19331,34464
143,15540,19459,34700
144,15644,19587,34937
145,15746,19715,35174
146,15849,19843,35411
147,15953,19972,35648
148,16055,20099,35885
149,16159,20227,36121
150,16261,20356,36358
151,16504,21870,37289
152,16607,22008,37530
153,16711,22145,37772
154,16816,22284,38013
155,16919,22421,38256
156,17023,22559,38497
157,17127,22696,38739
158,17231,22834,38980
159,17335,22971,39222
160,17439,23110,39463
161,17543,23247,39705
162,17647,23385,39948
163,17751,23522,40189
164,17855,23660,40431
165,17959,23798,40672
166,18063,23936,40914
167,18167,24073,41155
168,18271,24211,41397
169,18375,24348,41639
170,18479,24486,41881
171,18582,24624,42122
172,18687,24762,42364
173,18791,24899,42605
174,18894,25037,42847
175,18999,25174,43088
176,19103,25313,43331
177,19207,25450,43572
178,19311,25588,43814
179,19415,25725,44055
180,19519,25863,44297
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
