,3months-50,51-60,61-70
7,1178,1497,1946
8,1235,1563,2059
9,1294,1629,2171
10,1351,1696,2284
11,1409,1762,2397
12,1466,1828,2510
13,1525,1895,2622
14,1582,1962,2735
15,1640,2028,2847
16,1698,2094,2960
17,1756,2161,3073
18,1813,2228,3185
19,1872,2293,3298
20,1929,2360,3411
21,1987,2427,3524
22,2044,2493,3636
23,2102,2559,3748
24,2160,2626,3861
25,2217,2692,3974
26,2276,2759,4087
27,2333,2825,4199
28,2391,2892,4312
29,2449,2958,4424
30,2507,3025,4537
31,2726,3091,4904
32,2791,3157,5027
33,2856,3224,5151
34,2919,3291,5274
35,2984,3356,5397
36,3049,3423,5520
37,3113,3490,5643
38,3178,3556,5767
39,3242,3622,5890
40,3307,3689,6013
41,3371,3755,6136
42,3435,3822,6260
43,3500,3888,6383
44,3565,3955,6506
45,3629,4021,6630
46,3694,4088,6753
47,3759,4154,6876
48,3823,4220,6999
49,3887,4287,7122
50,3951,4354,7245
51,4016,4419,7369
52,4081,4486,7492
53,4145,4553,7616
54,4210,4619,7739
55,4275,4685,7862
56,4339,4752,7985
57,4403,4819,8108
58,4468,4885,8231
59,4532,4951,8354
60,4597,5018,8478
61,4765,5292,9329
62,4832,5362,9466
63,4899,5432,9602
64,4964,5503,9740
65,5031,5573,9876
66,5098,5643,10013
67,5164,5713,10149
68,5230,5784,10287
69,5297,5854,10423
70,5363,5925,10559
71,5430,5994,10696
72,5496,6065,10833
73,5562,6135,10970
74,5629,6206,11106
75,5696,6276,11243
76,5761,6346,11380
77,5828,6416,11517
78,5895,6487,11653
79,5962,6557,11790
80,6027,6627,11927
81,6094,6697,12064
82,6161,6768,12200
83,6227,6838,12337
84,6293,6909,12474
85,6360,6978,12611
86,6426,7049,12747
87,6493,7119,12884
88,6559,7190,13021
89,6625,7260,13158
90,6692,7330,13294
91,6839,7562,13512
92,6907,7634,13649
93,6974,7707,13788
94,7041,7779,13925
95,7109,7852,14063
96,7176,7923,14200
97,7244,7995,14338
98,7311,8068,14475
99,7379,8140,14614
100,7446,8212,14751
101,7513,8285,14889
102,7581,8356,15026
103,7648,8429,15164
104,7715,8501,15302
105,7783,8573,15440
106,7851,8646,15577
107,7917,8718,15715
108,7985,8790,15852
109,8053,8862,15990
110,8119,8934,16128
111,8187,9007,16266
112,8255,9079,16403
113,8322,9151,16541
114,8389,9223,16678
115,8457,9295,16817
116,8525,9368,16954
117,8591,9440,17092
118,8659,9512,17229
119,8727,9585,17367
120,8794,9657,17505
121,8861,9948,19398
122,8929,10023,19551
123,8996,10097,19705
124,9063,10171,19858
125,9131,10244,20011
126,9198,10319,20164
127,9266,10393,20317
128,9333,10467,20470
129,9400,10541,20623
130,9468,10616,20776
131,9535,10690,20929
132,9602,10764,21082
133,9670,10838,21236
134,9738,10912,21389
135,9805,10986,21542
136,9872,11060,21695
137,9940,11134,21847
138,10007,11209,22001
139,10074,11283,22154
140,10142,11357,22307
141,10210,11431,22460
142,10276,11506,22613
143,10344,11579,22767
144,10412,11653,22920
145,10478,11727,23073
146,10546,11802,23225
147,10614,11876,23378
148,10681,11950,23532
149,10748,12024,23685
150,10816,12099,23838
151,11022,12727,24268
152,11090,12805,24423
153,11159,12883,24579
154,11226,12961,24734
155,11295,13038,24889
156,11364,13116,25044
157,11432,13194,25199
158,11500,13272,25354
159,11569,13350,25509
160,11637,13428,25663
161,11706,13506,25818
162,11773,13584,25973
163,11842,13662,26128
164,11911,13741,26283
165,11979,13819,26438
166,12047,13897,26594
167,12116,13975,26749
168,12184,14053,26904
169,12253,14131,27059
170,12320,14209,27214
171,12389,14287,27369
172,12458,14365,27524
173,12525,14443,27679
174,12594,14521,27834
175,12663,14599,27989
176,12731,14677,28144
177,12799,14755,28298
178,12867,14833,28453
179,12936,14911,28609
180,13005,14989,28764
